"mea" "a_s_value" "mean" "a_s"
"tBodyAcc-mean()-X" "1" 0.276336875325203 "activity"
"tBodyAcc-mean()-Y" "1" -0.0179068331339779 "activity"
"tBodyAcc-mean()-Z" "1" -0.108881687638618 "activity"
"tBodyAcc-std()-X" "1" -0.314644454310285 "activity"
"tBodyAcc-std()-Y" "1" -0.0235829464260859 "activity"
"tBodyAcc-std()-Z" "1" -0.2739207990668 "activity"
"tBodyAcc-mad()-X" "1" -0.352469604338328 "activity"
"tBodyAcc-mad()-Y" "1" -0.0554907398211287 "activity"
"tBodyAcc-mad()-Z" "1" -0.274098038387096 "activity"
"tBodyAcc-max()-X" "1" -0.113457654431702 "activity"
"tBodyAcc-max()-Y" "1" -0.0520469452395412 "activity"
"tBodyAcc-max()-Z" "1" -0.325424451455772 "activity"
"tBodyAcc-min()-X" "1" 0.228838894451278 "activity"
"tBodyAcc-min()-Y" "1" 0.073618920540511 "activity"
"tBodyAcc-min()-Z" "1" 0.377003583212776 "activity"
"tBodyAcc-sma()" "1" -0.171593980702398 "activity"
"tBodyAcc-energy()-X" "1" -0.753202471103368 "activity"
"tBodyAcc-energy()-Y" "1" -0.807133381445993 "activity"
"tBodyAcc-energy()-Z" "1" -0.740080524033682 "activity"
"tBodyAcc-iqr()-X" "1" -0.423486368497654 "activity"
"tBodyAcc-iqr()-Y" "1" -0.296665184613252 "activity"
"tBodyAcc-iqr()-Z" "1" -0.316198434265408 "activity"
"tBodyAcc-entropy()-X" "1" 0.396591950345645 "activity"
"tBodyAcc-entropy()-Y" "1" 0.294771447331998 "activity"
"tBodyAcc-entropy()-Z" "1" 0.165607089737977 "activity"
"tBodyAcc-arCoeff()-X,1" "1" -0.354865825642009 "activity"
"tBodyAcc-arCoeff()-X,2" "1" 0.294155450702201 "activity"
"tBodyAcc-arCoeff()-X,3" "1" -0.101805785435883 "activity"
"tBodyAcc-arCoeff()-X,4" "1" 0.104094438495767 "activity"
"tBodyAcc-arCoeff()-Y,1" "1" -0.171893673072027 "activity"
"tBodyAcc-arCoeff()-Y,2" "1" 0.178097550470023 "activity"
"tBodyAcc-arCoeff()-Y,3" "1" 0.130354743656171 "activity"
"tBodyAcc-arCoeff()-Y,4" "1" -0.0761458007634222 "activity"
"tBodyAcc-arCoeff()-Z,1" "1" -0.152110010764161 "activity"
"tBodyAcc-arCoeff()-Z,2" "1" 0.187787920561585 "activity"
"tBodyAcc-arCoeff()-Z,3" "1" -0.0184858563793438 "activity"
"tBodyAcc-arCoeff()-Z,4" "1" -0.124871904703581 "activity"
"tBodyAcc-correlation()-X,Y" "1" -0.111835266889172 "activity"
"tBodyAcc-correlation()-X,Z" "1" -0.134239364191957 "activity"
"tBodyAcc-correlation()-Y,Z" "1" 0.240679244740285 "activity"
"tGravityAcc-mean()-X" "1" 0.93499157825784 "activity"
"tGravityAcc-mean()-Y" "1" -0.196713497359117 "activity"
"tGravityAcc-mean()-Z" "1" -0.0538251249015482 "activity"
"tGravityAcc-std()-X" "1" -0.977612074494773 "activity"
"tGravityAcc-std()-Y" "1" -0.966903875917538 "activity"
"tGravityAcc-std()-Z" "1" -0.954597565156794 "activity"
"tGravityAcc-mad()-X" "1" -0.978128891736353 "activity"
"tGravityAcc-mad()-Y" "1" -0.967646396527294 "activity"
"tGravityAcc-mad()-Z" "1" -0.955759660499419 "activity"
"tGravityAcc-max()-X" "1" 0.868630662450639 "activity"
"tGravityAcc-max()-Y" "1" -0.208737565075898 "activity"
"tGravityAcc-max()-Z" "1" -0.0511606541283043 "activity"
"tGravityAcc-min()-X" "1" 0.947221080354239 "activity"
"tGravityAcc-min()-Y" "1" -0.177170828544135 "activity"
"tGravityAcc-min()-Z" "1" -0.0624911228879152 "activity"
"tGravityAcc-sma()" "1" -0.209355339430598 "activity"
"tGravityAcc-energy()-X" "1" 0.826474505511034 "activity"
"tGravityAcc-energy()-Y" "1" -0.920558320412311 "activity"
"tGravityAcc-energy()-Z" "1" -0.945661129529617 "activity"
"tGravityAcc-iqr()-X" "1" -0.979265812113821 "activity"
"tGravityAcc-iqr()-Y" "1" -0.970115687595819 "activity"
"tGravityAcc-iqr()-Z" "1" -0.959442525342625 "activity"
"tGravityAcc-entropy()-X" "1" -0.754295318189315 "activity"
"tGravityAcc-entropy()-Y" "1" -0.973890795646342 "activity"
"tGravityAcc-entropy()-Z" "1" -0.714315608828513 "activity"
"tGravityAcc-arCoeff()-X,1" "1" -0.407665304546283 "activity"
"tGravityAcc-arCoeff()-X,2" "1" 0.480523837899535 "activity"
"tGravityAcc-arCoeff()-X,3" "1" -0.550527471062718 "activity"
"tGravityAcc-arCoeff()-X,4" "1" 0.617580726358885 "activity"
"tGravityAcc-arCoeff()-Y,1" "1" -0.105795247513519 "activity"
"tGravityAcc-arCoeff()-Y,2" "1" 0.120179372834895 "activity"
"tGravityAcc-arCoeff()-Y,3" "1" -0.19485188562996 "activity"
"tGravityAcc-arCoeff()-Y,4" "1" 0.291130162360168 "activity"
"tGravityAcc-arCoeff()-Z,1" "1" -0.283255373493223 "activity"
"tGravityAcc-arCoeff()-Z,2" "1" 0.335078362007276 "activity"
"tGravityAcc-arCoeff()-Z,3" "1" -0.385421457680778 "activity"
"tGravityAcc-arCoeff()-Z,4" "1" 0.431683453824756 "activity"
"tGravityAcc-correlation()-X,Y" "1" 0.171298789097665 "activity"
